Adsorbate,Facet,CN,Site,n_metal,GCN,Valency,chi,Bader,ed,wd,E_bind,E_ads,n_H,n_H_NN
CO2,322,7,top,1,5.5,0,2.55,2.0696,-2.02,1.95,-0.204304,-22.53919,0,0
CO2,1AD_111,3,top,1,2.5,0,2.55,2.0696,-1.59,1.6,-0.111448,-22.446334,0,0
CO2,1AD_100,4,top,1,3,0,2.55,2.0696,-1.85,1.69,-0.123021,-22.457907,0,0
CO2,2AD_111,4,top,1,2.92,0,2.55,2.0696,-1.75,1.73,-0.217171,-22.552057,0,0
CO2,2AD_100,5,top,1,3.58,0,2.55,2.0696,-1.99,1.83,-0.190829,-22.525715,0,0
CO2,3AD_111,5,top,1,3.5,0,2.55,2.0696,-1.63,1.74,-0.22055,-22.555436,0,0
CO2,4AD_100,6,top,1,4.42,0,2.55,2.0696,-2.02,1.96,-0.234017,-22.568903,0,0
CHOO,111,9,top,1,7.5,1,3.44,2.4664,-2.08,2.09,-2.437544,-25.962792,1,0
CHOO,100,8,top,1,6.67,1,3.44,2.4664,-2,1.96,-2.784087,-26.309335,1,0
CHOO,110,7,top,1,5.83,1,3.44,2.4664,-1.94,1.87,-3.004576,-26.529824,1,0
CHOO,211,7,top,1,5.5,1,3.44,2.4664,-2.09,1.99,-3.008512,-26.53376,1,0
CHOO,221,7,top,1,5.5,1,3.44,2.4664,-2.09,1.99,-3.193006,-26.718254,1,0
CHOO,322,7,top,1,5.5,1,3.44,2.4664,-2.02,1.95,-3.040183,-26.565431,1,0
CHOO,2AD_100,5,top,1,3.58,1,3.44,2.4664,-1.99,1.83,-3.078561,-26.603809,1,0
CHOO,2AD_111,4,top,1,2.92,1,3.44,2.4664,-1.75,1.73,-3.402674,-26.927922,1,0
CHOO,3AD_111,5,top,1,3.5,1,3.44,2.4664,-1.63,1.74,-3.400209,-26.925457,1,0
CHOO,4AD_100,6,top,1,4.42,1,3.44,2.4664,-2.02,1.96,-2.982175,-26.507423,1,0
O2,111,9,top,1,7.5,0,3.44,6.1523,-2.08,2.09,-0.456359,-10.040612,0,0
O2,110,7,top,1,5.83,0,3.44,6.1523,-1.94,1.87,-1.35739,-10.941643,0,0
O2,211,7,top,1,5.5,0,3.44,6.1523,-2.09,1.99,-1.263039,-10.847292,0,0
O2,221,7,top,1,5.5,0,3.44,6.1523,-2.09,1.99,-1.352214,-10.936467,0,0
O2,322,7,top,1,5.5,0,3.44,6.1523,-2.02,1.95,-1.343302,-10.927555,0,0
O2,2AD_111,4,top,1,2.92,0,3.44,6.1523,-1.75,1.73,-1.857908,-11.442161,0,0
O2,3AD_111,5,top,1,3.5,0,3.44,6.1523,-1.63,1.74,-1.739305,-11.323558,0,0
O2,4AD_100,6,top,1,4.42,0,3.44,6.1523,-2.02,1.96,-1.337195,-10.921448,0,0
H2O,111,9,top,1,7.5,0,3.44,7.2306,-2.08,2.09,-0.390334,-14.549311,2,0
H2O,100,8,top,1,6.67,0,3.44,7.2306,-2,1.96,-0.449154,-14.608131,2,0
H2O,110,7,top,1,5.83,0,3.44,7.2306,-1.94,1.87,-0.640036,-14.799013,2,0
H2O,211,7,top,1,5.5,0,3.44,7.2306,-2.09,1.99,-0.523673,-14.68265,2,0
H2O,221,7,top,1,5.5,0,3.44,7.2306,-2.09,1.99,-0.532614,-14.691591,2,0
H2O,322,7,top,1,5.5,0,3.44,7.2306,-2.02,1.95,-0.51751,-14.676487,2,0
H2O,1AD_111,3,top,1,2.5,0,3.44,7.2306,-1.59,1.6,-0.83032,-14.989297,2,0
H2O,1AD_100,4,top,1,3,0,3.44,7.2306,-1.85,1.69,-0.703115,-14.862092,2,0
H2O,2AD_111,4,top,1,2.92,0,3.44,7.2306,-1.75,1.73,-0.857519,-15.016496,2,0
H2O,2AD_100,5,top,1,3.58,0,3.44,7.2306,-1.99,1.83,-0.670416,-14.829393,2,0
H2O,3AD_111,5,top,1,3.5,0,3.44,7.2306,-1.63,1.74,-0.875463,-15.03444,2,0
H2O,4AD_100,6,top,1,4.42,0,3.44,7.2306,-2.02,1.96,-0.627916,-14.786893,2,0
OH,111,9,top,1,7.5,1,3.44,6.573,-2.08,2.09,-2.145262,-9.875931,1,0
OH,111,9,bridge,2,7.33,1,3.44,6.573,-2.08,2.09,-2.104622,-9.835291,1,0
OH,100,8,top,1,6.67,1,3.44,6.573,-2,1.96,-2.361574,-10.092243,1,0
OH,100,8,bridge,2,6.67,1,3.44,6.573,-2,1.96,-2.824121,-10.55479,1,0
OH,110,7,top,1,5.83,1,3.44,6.573,-1.94,1.87,-2.583677,-10.314346,1,0
OH,110,7,bridge,2,5.78,1,3.44,6.573,-1.94,1.87,-2.735594,-10.466263,1,0
OH,211,7,top,1,5.5,1,3.44,6.573,-2.09,1.99,-2.481408,-10.212077,1,0
OH,211,7,bridge,2,5.39,1,3.44,6.573,-2.09,1.99,-2.891364,-10.622033,1,0
OH,221,7,top,1,5.5,1,3.44,6.573,-2.09,1.99,-2.599974,-10.330643,1,0
OH,221,7,bridge,2,5.44,1,3.44,6.573,-2.09,1.99,-2.68252,-10.413189,1,0
OH,322,7,top,1,5.5,1,3.44,6.573,-2.02,1.95,-2.512938,-10.243607,1,0
OH,322,7,bridge,2,5.39,1,3.44,6.573,-2.02,1.95,-2.924647,-10.655316,1,0
OH,1AD_100,4,top,1,3,1,3.44,6.573,-1.85,1.69,-2.938949,-10.669618,1,0
OH,1AD_111,3,top,1,2.5,1,3.44,6.573,-1.59,1.6,-3.008251,-10.73892,1,0
OH,2AD_100,5,top,1,3.58,1,3.44,6.573,-1.99,1.83,-2.813464,-10.544133,1,0
OH,2AD_100,5,bridge,2,3.11,1,3.44,6.573,-1.99,1.83,-2.919547,-10.650216,1,0
OH,2AD_111,4,top,1,2.92,1,3.44,6.573,-1.75,1.73,-3.023995,-10.754664,1,0
OH,2AD_111,4,bridge,2,2.83,1,3.44,6.573,-1.75,1.73,-3.175744,-10.906413,1,0
OH,3AD_111,5,top,1,3.5,1,3.44,6.573,-1.63,1.74,-3.09286,-10.823529,1,0
OH,3AD_111,5,bridge,2,3.17,1,3.44,6.573,-1.63,1.74,-3.099913,-10.830582,1,0
OH,4AD_100,6,top,1,4.42,1,3.44,6.573,-2.02,1.96,-2.690351,-10.42102,1,0
OH,4AD_100,6,bridge,2,4,1,3.44,6.573,-2.02,1.96,-2.894051,-10.62472,1,0
O,111,9,three-fold hollow,3,6.95,2,3.44,6,-2.08,2.09,-4.166493,-5.741805,0,0
O,111,9,three-fold hollow,3,7.5,2,3.44,6,-2.08,2.09,-4.169079,-5.744391,0,0
O,100,8,top,1,6.67,2,3.44,6,-2,1.96,-3.41023799,-4.98554999,0,0
O,100,8,bridge,2,6.67,2,3.44,6,-2,1.96,-4.449018,-6.02433,0,0
O,100,8,four-fold hollow,4,6.62,2,3.44,6,-2,1.96,-4.18783752,-5.76314952,0,0
O,110,7,top,1,5.83,2,3.44,6,-1.94,1.87,-3.77843235,-5.35374435,0,0
O,110,7,bridge,2,5.78,2,3.44,6,-1.94,1.87,-4.54898,-6.124292,0,0
O,110,7,three-fold hollow,3,6.41,2,3.44,6,-1.94,1.87,-4.177808,-5.75312,0,0
O,211,7,top,1,5.5,2,3.44,6,-2.09,1.99,-3.655935,-5.231247,0,0
O,211,7,bridge,2,5.39,2,3.44,6,-2.09,1.99,-4.61767,-6.192982,0,0
O,221,7,top,1,5.5,2,3.44,6,-2.09,1.99,-3.752118,-5.32743,0,0
O,221,7,bridge,2,5.44,2,3.44,6,-2.09,1.99,-4.435709,-6.011021,0,0
O,221,7,three-fold hollow,3,6.41,2,3.44,6,-2.09,1.99,-4.029847,-5.605159,0,0
O,322,7,top,1,5.5,2,3.44,6,-2.02,1.95,-3.682713,-5.258025,0,0
